F1,F3
-0.667,-0.378
0.608,-0.565
0.638,0.094
-0.640,-0.154
-0.552,-0.175
0.203,-0.364
0.541,-0.645
0.132,-0.400
2.289,-1.750
0.169,-0.223
-0.520,-0.057
-0.875,0.245
-1.009,0.614
-0.989,0.616
-0.987,0.421
-0.939,0.714
-0.593,0.987
-0.983,0.514
-0.627,1.453
-0.918,0.312
1.219,-0.966
-0.340,1.078
-0.924,0.541
2.544,-2.292
0.466,-0.646
-0.604,-0.253
-0.511,0.062
0.556,-0.876
-0.756,-0.029
0.416,0.171
-0.638,0.834
1.773,-0.549
-0.549,-0.063
-0.673,0.970
0.380,-0.935
0.288,-0.300
-0.747,-0.114
0.469,0.503
3.834,-3.167
-0.476,0.628
0.409,0.395
-0.670,-0.199
-0.666,1.300
-0.657,0.715
-0.703,-0.110
-0.275,1.002
0.751,0.099
4.991,-3.771
-0.504,0.358
-0.689,-0.107
-0.643,-0.101
-0.666,-0.086
0.546,-0.913
-0.390,-0.130
-0.679,-0.178
-0.591,0.934
-0.577,0.980
-0.544,-0.188
-0.679,-0.178
2.668,-1.105
0.490,0.233
2.607,-2.273
-0.334,0.988
-0.641,-0.158
1.638,-1.471
0.589,-0.690
-0.685,0.191
-0.565,-0.318
-0.568,0.987
-0.696,-0.118
-0.627,0.751
1.807,-0.558
-0.669,-0.229
6.431,-8.782
-0.636,-0.186
-0.411,0.654
-0.385,0.775
1.634,-1.715
-0.399,1.106
-0.395,0.624
-0.641,-0.260
-0.692,0.010
-0.601,0.167
-0.470,0.645
0.580,-0.880
-0.662,-0.169
0.569,-0.791
-0.604,0.951
-0.481,-0.186
-0.385,1.650
-0.528,-0.046
-0.707,0.268
-0.663,-0.041
-0.491,-0.383
-0.365,0.710
-0.916,0.461
1.502,-1.305
-0.710,0.164
-0.523,-0.214
-0.431,-0.202
-0.664,1.431
-0.620,0.001
-0.539,-0.531
-0.475,-0.243
-0.488,-0.319
-0.630,0.845
-0.443,0.658
-0.542,-0.321
-0.647,-0.098
-0.613,1.009
-0.607,1.291
