Time,Zip,Lat,Long,Pers i,Pers K,Ped i,Ped K,Cyc i,Cyc K,Mot i,Mot K
0.73,1.353,0.2637588,0.4298432,1,0,0,0,0,0,1,0
2.25,0.027,0.2760836,0.2895615,0,0,0,0,0,0,0,0
1.83,1.235,0.1487845,0.3341856,1,0,0,0,0,0,1,0
0.504,0.023,0.2828664,0.2715005,0,0,0,0,0,0,0,0
1.758,0.012,0.2223403,0.2379722,0,0,0,0,0,0,0,0
1.501,0.009,0.2396805,0.2579884,0,0,0,0,0,0,0,0
1.75,0.02,0.2732579,0.2782514,0,0,0,0,0,0,0,0
1.8,0.308,0.0369922,0.02979,1,0,0,0,0,0,1,0
1.403,0.074,0.2752089,0.279675,1,1,0,1,0,0,1,0
1.135,1.354,0.2482371,0.4159548,2,0,0,0,0,0,2,0
1.23,1.356,0.2914175,0.4315718,0,0,0,0,0,0,0,0
2,1.353,0.262961,0.4326639,0,0,0,0,0,0,0,0
0.847,1.211,0.1547427,0.3316782,0,0,0,0,0,0,0,0
1.554,1.431,0.2091424,0.4419422,1,0,0,0,0,0,1,0
0.102,0.127,0.2795806,0.2952077,1,0,0,0,0,0,1,0
0.505,0.46,0.3505767,0.4107465,1,0,0,0,0,0,1,0
0.5,1.384,0.2046239,0.3473122,0,0,0,0,0,0,0,0
1.335,0.074,0.2752109,0.2817872,0,0,0,0,0,0,0,0
1.135,0.024,0.3018608,0.2779384,3,0,0,0,0,0,3,0
1.135,0.024,0.2885643,0.2719508,1,0,0,0,0,0,1,0
2.23,1.211,0.1530688,0.3310885,0,0,0,0,0,0,0,0
0.12,1.236,0.2032014,0.3285083,0,0,0,0,0,0,0,0
1.855,1.384,0.2018656,0.3830531,0,0,0,0,0,0,0,0
2.31,1.384,0.2085431,0.3280247,0,0,0,0,0,0,0,0
0.845,1.374,0.2231914,0.3966382,2,0,0,0,0,0,2,0
1.212,0.064,0.2638075,0.286643,0,0,0,0,0,0,0,0
0.125,0.311,0.034814,0.0609702,1,0,0,0,0,0,1,0
1.93,0.024,0.2981304,0.2789296,0,0,0,0,0,0,0,0
1.71,0.015,0.2415965,0.2572744,0,0,0,0,0,0,0,0
1.45,0.02,0.265056,0.2875536,1,0,0,0,0,0,1,0
1.655,0.453,0.3064493,0.3225742,0,0,0,0,0,0,0,0
1.414,1.431,0.2045804,0.4356635,0,0,0,0,0,0,0,0
0.805,0.281,0.2170145,0.2268003,0,0,0,0,0,0,0,0
1.455,0.018,0.2632129,0.264604,0,0,0,0,0,0,0,0
1.346,0.473,0.321314,0.3559266,0,0,0,0,0,0,0,0
2.308,1.384,0.1993893,0.3415985,1,0,0,0,0,0,1,0
2.025,1.378,0.2191711,0.3763256,0,0,0,0,0,0,0,0
1.408,1.384,0.1995422,0.3455298,0,0,0,0,0,0,0,0
1.64,1.384,0.1964813,0.3398703,0,0,0,0,0,0,0,0
0.63,1.384,0.2111047,0.3306396,0,0,0,0,0,0,0,0
0.003,1.363,0.2480081,0.471448,0,0,0,0,0,0,0,0
0.64,0.004,0.2052649,0.2346694,0,0,0,0,0,0,0,0
1.308,1.101,0.2694173,0.3144964,3,0,0,0,0,0,3,0
2.035,0.018,0.2618563,0.2678307,0,0,0,0,0,0,0,0
1.245,1.432,0.1997122,0.4522609,1,0,0,0,0,0,1,0
0.136,0.015,0.2473275,0.2572396,0,0,0,0,0,0,0,0
1.62,1.354,0.2395064,0.4245963,1,0,0,0,0,0,1,0
0.52,1.411,0.2056741,0.4789703,0,0,0,0,0,0,0,0
1.001,1.372,0.2301681,0.3702356,0,0,0,0,0,0,0,0
0.92,1.211,0.1582277,0.3327353,0,0,0,0,0,0,0,0
0.3,0.311,0.0615608,0.0600808,0,0,0,0,0,0,0,0
2.33,0,0.2480196,0.2535621,2,0,0,0,0,0,2,0
1.31,1.234,0.0829227,0.3068662,2,0,0,0,0,0,2,0
0.7,1.378,0.2238991,0.3626002,0,0,0,0,0,0,0,0
0.11,1.354,0.2570379,0.4309107,1,0,0,0,0,0,1,0
1.109,0.027,0.276764,0.2900566,0,0,0,0,0,0,0,0
1.825,1.355,0.2805802,0.3994907,2,0,0,0,0,0,2,0
0.345,0.452,0.3502085,0.3333882,3,0,0,0,0,0,3,0
1.92,1.371,0.2539197,0.3691083,0,0,0,0,0,0,0,0
0.4,0.008,0.2221688,0.2592758,0,0,0,0,0,0,0,0
1.135,1.218,0.1248734,0.2402798,1,0,0,0,0,0,1,0
1.518,0.462,0.3747308,0.3386688,0,0,0,0,0,0,0,0
1.15,1.363,0.2519001,0.4874544,0,0,0,0,0,0,0,0
0.005,0.001,0.2188625,0.2489032,0,0,0,0,0,0,0,0
1.605,0.016,0.2518891,0.2719126,0,0,0,0,0,0,0,0
1.545,0.02,0.2699546,0.2821559,0,0,0,0,0,0,0,0
1.655,0.021,0.2594905,0.2774858,0,0,0,0,0,0,0,0
0.555,0.024,0.2924473,0.274784,0,0,0,0,0,0,0,0
1.015,0.023,0.2890765,0.2648945,0,0,0,0,0,0,0,0
2.037,0.033,0.3602004,0.320568,0,0,0,0,0,0,0,0
1.83,1.232,0.177168,0.3310451,7,0,0,0,0,0,7,0
2.23,1.2,0.1877931,0.2608714,2,0,0,0,0,0,2,0
2.215,1.2,0.1948419,0.2594092,0,0,0,0,0,0,0,0
0.63,1.205,0.2079916,0.3017222,2,0,0,0,0,0,2,0
1.82,1.384,0.2024771,0.3563435,1,0,0,0,0,0,1,0
1.4,1.355,0.2821172,0.3995774,2,0,0,0,0,0,2,0
2.2,1.692,0.1084598,0.42275,1,0,0,0,0,0,1,0
0.418,0.035,0.2580897,0.2571807,0,0,0,0,0,0,0,0
2.14,1.412,0.1653424,0.484169,0,0,0,0,0,0,0,0
0.53,1.416,0.1742029,0.3984965,1,0,0,0,0,0,1,0
1.655,0.453,0.3043814,0.3314974,0,0,0,0,0,0,0,0
1.407,1.69,0.1069971,0.4876667,0,0,0,0,0,0,0,0
1.43,0.015,0.2492322,0.258626,2,0,0,0,1,0,1,0
1.8,0.127,0.283506,0.2878407,4,0,0,0,0,0,4,0
1.748,0.074,0.2738917,0.2787139,0,0,0,0,0,0,0,0
1.534,1.206,0.1770006,0.3441824,1,0,0,0,0,0,1,0
1.915,0.021,0.2624787,0.2703904,0,0,0,0,0,0,0,0
0.6,1.2,0.1923793,0.2626324,0,0,0,0,0,0,0,0
2.102,1.373,0.2107351,0.3820402,0,0,0,0,0,0,0,0
1.91,1.427,0.2238985,0.497352,0,0,0,0,0,0,0,0
0.9,0.305,0.0743723,0.1191572,0,0,0,0,0,0,0,0
0.615,0.035,0.2582956,0.2566971,0,0,0,0,0,0,0,0
1.415,1.228,0.0978285,0.2863227,0,0,0,0,0,0,0,0
1.725,0.021,0.2592542,0.2680354,1,0,0,0,0,0,1,0
0.62,0.021,0.2598185,0.272667,1,0,0,0,0,0,1,0
0.615,0.018,0.2703541,0.2474538,0,0,0,0,0,0,0,0
0.645,0.023,0.2834271,0.2682039,0,0,0,0,0,0,0,0
2.315,0.452,0.3549964,0.3353468,0,0,0,0,0,0,0,0
0.243,0.472,0.3203221,0.3623959,0,0,0,0,0,0,0,0
0.43,0.039,0.3571633,0.3099832,1,0,0,0,0,0,1,0
