DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
8/8/2014,1.447,QUEENS,1.356,0.2818858,0.4424677,"(40.782996, -73.799332)",WILLETS POINT BOULEVARD,17 AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Alcohol Involvement,Alcohol Involvement,,,1005704,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
8/8/2014,1.72,QUEENS,1.353,0.2585698,0.4094518,"(40.75968, -73.832348)",39 AVENUE,PRINCE STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,1005705,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,BUS,,
8/9/2014,1.7,QUEENS,1.384,0.2085721,0.3428963,"(40.709682, -73.898904)",FRESH POND ROAD,LINDEN STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,1006542,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/11/2014,0.845,MANHATTAN,0.064,0.2656598,0.2706156,"(40.76677, -73.971184)",5 AVENUE,EAST 63 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Other Vehicular,,,1006776,LIVERY VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
8/11/2014,0.851,QUEENS,1.434,0.1934353,0.439688,"(40.694545, -73.802112)",SOUTH ROAD,SUTPHIN BOULEVARD,,2,0,0,0,0,0,2,0,Physical Disability,Traffic Control Disregarded,Driver Inattention/Distraction,,,1008050,PASSENGER VEHICLE,VAN,SPORT UTILITY / STATION WAGON,,
8/10/2014,0.525,QUEENS,1.366,0.2326901,0.4269988,"(40.7338, -73.814801)",KISSENA BOULEVARD,MELBOURNE AVENUE,,1,0,0,0,0,0,1,0,Failure to Keep Right,Other Electronic Device,Other Electronic Device,Other Electronic Device,,1008094,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
8/12/2014,1.93,QUEENS,1.354,0.2598487,0.4341206,"(40.760959, -73.807679)",158 STREET,SANFORD AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,Lost Consciousness,,,1008126,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/12/2014,1.9,QUEENS,1.364,0.2394924,0.4315574,"(40.740602, -73.810243)",PARSONS BOULEVARD,59 AVENUE,,0,0,0,0,0,0,0,0,Other Electronic Device,Outside Car Distraction,Outside Car Distraction,Outside Car Distraction,,1008127,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
8/14/2014,1.73,MANHATTAN,0.012,0.2163402,0.2382684,"(40.71745, -74.003532)",FRANKLIN STREET,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inexperience,Other Vehicular,Other Vehicular,,,1008221,UNKNOWN,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
8/14/2014,0.73,MANHATTAN,0.027,0.2758001,0.2843295,"(40.77691, -73.95747)",EAST 82 STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,1008299,SPORT UTILITY / STATION WAGON,VAN,TAXI,,
