DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/01/2016,22:30,MANHATTAN,10012,40.7241363,-73.9926041,"(40.724136, -73.992604)",EAST HOUSTON STREET,BOWERY,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,3406354,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
03/24/2016,15:30,MANHATTAN,10011,40.7503074,-74.0083661,"(40.750307, -74.008366)",12 AVENUE,WEST 24 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3406521,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/25/2016,21:00,MANHATTAN,10014,40.7423751,-74.0087909,"(40.742375, -74.008791)",WEST 14 STREET,11 AVENUE,,2,0,0,0,0,0,2,0,Physical Disability,Physical Disability,Physical Disability,Physical Disability,,3406533,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
04/03/2016,16:08,MANHATTAN,10001,40.7570213,-74.004927,"(40.757021, -74.004927)",WEST 34 STREET,12 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,3406624,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/12/2016,13:00,MANHATTAN,10001,40.7544905,-74.0067388,"(40.754491, -74.006739)",12 AVENUE,WEST 30 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3406686,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/13/2016,14:55,MANHATTAN,10018,40.7607762,-74.0021839,"(40.760776, -74.002184)",12 AVENUE,WEST 40 STREET,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3406693,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/03/2016,3:38,MANHATTAN,10016,40.7403945,-73.9790771,"(40.740395, -73.979077)",2 AVENUE,EAST 27 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3406957,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/07/2016,14:30,MANHATTAN,10010,40.7402615,-73.9905165,"(40.740262, -73.990516)",WEST 21 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Illness,Illness,Illness,,,3406988,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
04/08/2016,12:14,MANHATTAN,10016,40.7416432,-73.9781673,"(40.741643, -73.978167)",2 AVENUE,EAST 29 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3406996,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,
04/11/2016,15:03,MANHATTAN,10010,40.7435691,-73.9923205,"(40.743569, -73.99232)",AVENUE OF THE AMERICAS,WEST 24 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3407019,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
