Pers K,Pers i,Mot i,Mot K,Zip,Long,Lat,Ped i,Time,Cyc i
0,0,0,0,1.371,0.3691083,0.2539197,0,1.92,0
0,0,0,0,0.008,0.2592758,0.2221688,0,0.4,0
0,1,1,0,1.218,0.2402798,0.1248734,0,1.135,0
0,0,0,0,0.462,0.3386688,0.3747308,0,1.518,0
0,0,0,0,1.363,0.4874544,0.2519001,0,1.15,0
0,0,0,0,0.001,0.2489032,0.2188625,0,0.005,0
0,0,0,0,0.016,0.2719126,0.2518891,0,1.605,0
0,0,0,0,0.02,0.2821559,0.2699546,0,1.545,0
0,0,0,0,0.021,0.2774858,0.2594905,0,1.655,0
0,0,0,0,0.024,0.274784,0.2924473,0,0.555,0
0,0,0,0,0.023,0.2648945,0.2890765,0,1.015,0
0,0,0,0,0.033,0.320568,0.3602004,0,2.037,0
0,7,7,0,1.232,0.3310451,0.177168,0,1.83,0
0,2,2,0,1.2,0.2608714,0.1877931,0,2.23,0
0,0,0,0,1.2,0.2594092,0.1948419,0,2.215,0
0,2,2,0,1.205,0.3017222,0.2079916,0,0.63,0
0,1,1,0,1.384,0.3563435,0.2024771,0,1.82,0
0,2,2,0,1.355,0.3995774,0.2821172,0,1.4,0
0,1,1,0,1.692,0.42275,0.1084598,0,2.2,0
0,0,0,0,0.035,0.2571807,0.2580897,0,0.418,0
0,0,0,0,1.412,0.484169,0.1653424,0,2.14,0
0,1,1,0,1.416,0.3984965,0.1742029,0,0.53,0
0,0,0,0,0.453,0.3314974,0.3043814,0,1.655,0
0,0,0,0,1.69,0.4876667,0.1069971,0,1.407,0
0,2,1,0,0.015,0.258626,0.2492322,0,1.43,1
0,4,4,0,0.127,0.2878407,0.283506,0,1.8,0
0,0,0,0,0.074,0.2787139,0.2738917,0,1.748,0
0,1,1,0,1.206,0.3441824,0.1770006,0,1.534,0
0,0,0,0,0.021,0.2703904,0.2624787,0,1.915,0
0,0,0,0,1.2,0.2626324,0.1923793,0,0.6,0
0,0,0,0,1.373,0.3820402,0.2107351,0,2.102,0
0,0,0,0,1.427,0.497352,0.2238985,0,1.91,0
0,0,0,0,0.305,0.1191572,0.0743723,0,0.9,0
0,0,0,0,0.035,0.2566971,0.2582956,0,0.615,0
0,0,0,0,1.228,0.2863227,0.0978285,0,1.415,0
0,1,1,0,0.021,0.2680354,0.2592542,0,1.725,0
0,1,1,0,0.021,0.272667,0.2598185,0,0.62,0
0,0,0,0,0.018,0.2474538,0.2703541,0,0.615,0
0,0,0,0,0.023,0.2682039,0.2834271,0,0.645,0
0,0,0,0,0.452,0.3353468,0.3549964,0,2.315,0
0,0,0,0,0.472,0.3623959,0.3203221,0,0.243,0
0,1,1,0,0.039,0.3099832,0.3571633,0,0.43,0
0,0,0,0,1.384,0.3318839,0.2030149,0,0.437,0
0,0,0,0,1.378,0.3712495,0.2227506,0,0.13,0
0,0,0,0,1.229,0.2713285,0.1230608,0,0.035,0
0,0,0,0,0.461,0.3823606,0.3455481,0,2.2,0
0,0,0,0,0.462,0.3321216,0.3784057,0,1.63,0
0,0,0,0,0.47,0.3410154,0.4109696,0,2.32,0
0,2,2,0,0.002,0.2475009,0.2310548,0,1.65,0
0,0,0,0,0.013,0.2364854,0.2274948,0,1.655,0
0,0,0,0,0.467,0.3537954,0.381727,0,1.8,0
0,0,0,0,0.466,0.370202,0.3775353,0,1.633,0
0,2,2,0,0.467,0.3368674,0.3616401,0,1.63,0
0,0,0,0,0.466,0.3697402,0.3649376,0,1.23,0
0,0,0,0,1.223,0.2655886,0.0787172,0,1.5,0
0,5,5,0,0.013,0.2311275,0.2280023,0,1.255,0
0,0,0,0,0.013,0.2315849,0.2327343,0,1.045,0
0,0,0,0,1.234,0.2924545,0.087404,0,1.615,0
0,0,0,0,1.222,0.2771624,0.0922131,0,1.6,0
0,0,0,0,1.222,0.2807719,0.0950501,0,1.137,0
0,0,0,0,1.228,0.2903957,0.0982715,0,1.3,0
1,1,1,1,1.235,0.3223392,0.139129,0,0.43,0
0,0,0,0,0.001,0.2611808,0.2104237,0,0.05,0
0,0,0,0,0.001,0.2627368,0.214557,0,1.345,0
0,0,0,0,1.217,0.2571278,0.1376246,0,0.63,0
0,0,0,0,0.001,0.2536,0.2174458,0,1.92,0
0,0,0,0,1.218,0.2432555,0.1277362,0,1.23,0
0,0,0,0,1.217,0.2695307,0.1399526,0,0.115,0
0,0,0,0,1.218,0.2494898,0.1440674,0,0.815,0
0,0,0,0,1.217,0.2681578,0.1398047,0,0.11,0
0,2,2,0,1.203,0.2523115,0.1222598,0,0.9,0
0,0,0,0,0.001,0.2536,0.2174458,0,0.9,0
0,0,0,0,1.217,0.2677048,0.1421956,0,1.505,0
0,1,1,0,1.229,0.2713285,0.1230608,0,1.6,0
0,2,2,0,0.001,0.2663489,0.2178363,0,0.642,0
0,0,0,0,1.203,0.2633469,0.1155967,0,0.822,0
0,0,0,0,1.202,0.3046543,0.1503113,0,0.3,0
0,0,0,0,0.001,0.255216,0.2168939,0,1.6,0
0,6,6,0,1.202,0.3027478,0.1502163,0,0.8,0
0,2,2,0,1.218,0.2358737,0.1275329,0,1.125,0
0,0,0,0,1.208,0.2155867,0.1203826,0,1.633,0
0,1,1,0,1.219,0.2188885,0.1349966,0,1.9,0
0,0,0,0,1.208,0.2131231,0.1281855,0,1.8,0
0,0,0,0,1.208,0.2155374,0.1268109,0,1.614,0
0,0,0,0,1.227,0.224107,0.1162149,0,1.75,0
0,1,1,0,1.208,0.2200645,0.1305777,0,0.005,0
0,0,0,0,1.227,0.2286346,0.1171268,0,2.04,0
0,0,0,0,1.219,0.2314709,0.1301923,0,2.315,0
0,0,0,0,1.235,0.3441914,0.1523443,0,0.624,0
0,1,1,0,1.235,0.3409608,0.1367897,0,0.819,0
0,0,0,0,1.225,0.2776522,0.1528838,0,1.445,0
0,0,0,0,1.229,0.2746149,0.1325925,0,0.837,0
0,0,0,0,0.002,0.2545508,0.2280762,0,0.431,0
0,0,0,0,1.224,0.2882597,0.1595389,0,2.05,0
0,0,0,0,1.202,0.3044592,0.1612851,0,1.75,0
0,1,1,0,1.214,0.251164,0.1594683,0,1.224,0
0,5,5,0,1.219,0.2231487,0.1426471,0,1.202,0
0,0,0,0,1.231,0.2266172,0.1496633,0,1.04,0
0,0,0,0,1.231,0.2435157,0.1622381,0,0.72,0
0,0,0,0,1.219,0.2256325,0.1383711,0,0.815,0
0,0,0,0,1.231,0.2373815,0.1531995,0,0.83,0
0,0,0,0,1.219,0.2277998,0.14713,0,0.65,0
0,0,0,0,1.232,0.3337101,0.1750799,0,0.815,0
0,0,0,0,0.008,0.2582637,0.2288964,0,0.63,0
0,2,2,0,1.206,0.3391784,0.1795549,0,0.42,0
0,1,1,0,1.215,0.2912978,0.1687546,0,0.836,0
0,1,1,0,1.215,0.2888131,0.177613,0,1.65,0
0,0,0,0,1.214,0.2647419,0.1712085,0,1.945,0
0,0,0,0,1.214,0.2571001,0.1740643,0,0.63,0
0,1,1,0,1.204,0.2838397,0.1977094,0,1.93,0
0,0,0,0,1.237,0.2865061,0.1780942,0,1.82,0
0,0,0,0,1.232,0.3195215,0.1793667,0,1.81,0
0,0,0,0,0.01,0.2410963,0.2411446,0,1.605,0
0,2,2,0,1.2,0.2470909,0.2018835,0,1.75,0
0,4,4,0,1.2,0.2520625,0.189249,0,2,0
0,0,0,0,0.017,0.2435903,0.2547586,0,1.41,0
0,0,0,0,1.2,0.2567048,0.1961214,0,0.03,0
0,1,1,0,1.237,0.2791567,0.1814839,0,1.045,0
0,0,0,0,1.237,0.2773784,0.1800105,0,0.72,0
0,0,0,0,1.21,0.2867002,0.2094778,0,0.9,0
0,0,0,0,1.205,0.3048201,0.2075672,0,2.133,0
0,0,0,0,1.221,0.3025646,0.2221157,0,1.92,0
0,0,0,0,1.221,0.2903181,0.2293539,0,1.65,0
0,0,0,0,1.21,0.2834798,0.2161708,0,2.338,0
0,0,0,0,1.221,0.2830239,0.2257804,0,1.334,0
0,0,0,0,1.221,0.2895413,0.2328785,0,2.225,0
0,0,0,0,1.69,0.483866,0.0997424,0,1.65,0
0,4,4,0,1.42,0.3896361,0.1925525,0,1.51,0
0,0,0,0,1.418,0.4178854,0.1894331,0,0.638,0
0,0,0,0,1.42,0.3917299,0.1887318,0,2,0
0,0,0,0,1.417,0.4113284,0.1959728,0,1.43,0
0,0,0,0,1.417,0.3947975,0.1977142,0,1.82,0
0,0,0,0,1.432,0.4460774,0.1979036,0,0.945,0
0,0,0,0,1.422,0.4757505,0.2121721,0,0.8,0
0,2,2,0,1.432,0.4532027,0.2009923,0,2.343,0
0,0,0,0,1.422,0.4845445,0.2170286,0,1.62,0
0,2,2,0,1.422,0.4744659,0.2161793,0,1.93,0
0,0,0,0,1.422,0.4806599,0.2192188,0,1.53,0
0,0,0,0,1.418,0.4319185,0.1902644,0,0.715,0
0,0,0,0,1.422,0.46777,0.2085622,0,0.03,0
